experiment,training_data,n_train,model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_mean,spearman_std,n_seeds
1,real,5739,molformer,26.014391231354487,1.9770108766557672,36.372262616235886,1.613474743546335,0.8902430623604689,0.009875738972773931,0.9526670274833373,0.0023952915238444764,5
1,real,5739,random_forest,24.791438954092897,0.058209234914449924,36.4282966182318,0.10313039734581364,0.8900769658802377,0.0006222477472058619,0.9481132342074462,0.00023670843969668696,5
2,generated,8396,molformer,36.08241095373745,0.3659010561112289,49.980520827247645,0.7220644584222845,0.7930419814786294,0.005975716887524579,0.9077080505459003,0.0033828764812021974,5
2,generated,8396,random_forest,44.509044177424606,0.0478614442895851,60.993293795091915,0.0482520294783094,0.6918426108918292,0.00048772277327987574,0.8618713118293273,0.00020656925161996063,5
3,labeled,9933,molformer,38.71862622838127,0.6208093735984906,51.955929999616544,1.2349350970004824,0.7762955190415662,0.010682447479178066,0.9028187490814894,0.00676940410082758,5
3,labeled,9933,random_forest,46.187346359789736,0.04321030095859733,61.44492206155479,0.04010978436985377,0.6872622280187202,0.0004083387402282949,0.8608214857793015,9.478516245014637e-05,5
4,real + generated,14135,molformer,27.223441260474083,1.0234867750726555,37.840762824580324,1.2752849905127117,0.8812804090869479,0.008016705663528618,0.9514440673799329,0.0012148940230707114,5
4,real + generated,14135,random_forest,25.211201887367064,0.05751137664666862,36.93801701246947,0.08420663453627864,0.8869795183017628,0.0005147276172796005,0.9464383339331037,0.0003351013498384378,5
5,real + labeled,15672,molformer,26.174886314448905,1.2683307633157241,36.53900620486003,1.6234453366269683,0.8892338714265346,0.009885370237229652,0.9522758039988771,0.0018664486576961646,5
5,real + labeled,15672,random_forest,26.273372895670114,0.0774784725120533,39.47647154557665,0.1273714516040061,0.8709112286500813,0.0008326166663110427,0.9385901604416679,0.0003279725981575208,5
6,small real (500),500,molformer,36.685576661417464,2.2215167947649603,49.01934616144198,2.1748846238619333,0.8006452376667422,0.017847905126224434,0.9091560844080433,0.007664336391978893,5
6,small real (500),500,random_forest,38.85981309564379,0.494132098154651,52.81220887433655,0.6068853351389843,0.7689410816138974,0.005317089832405023,0.8803787125863117,0.0028731547769550716,5
7,small real + generated,8896,molformer,33.95476561781392,1.0576919727251137,46.441516446817765,1.4280681962626183,0.8212074687782737,0.010932585963717456,0.9234515813463802,0.0012213846833380951,5
7,small real + generated,8896,random_forest,38.06615026791315,0.4594211710256748,53.004112513751714,0.40966256818616203,0.7672722972724262,0.0036077012904568626,0.8909011784930418,0.0020121373863269732,5
8,small real + labeled,10433,molformer,34.657182823279165,2.2510419563792086,46.94227113177272,2.5134836756423176,0.8170504531443713,0.01973901123180381,0.9216283797981293,0.003052958471130102,5
8,small real + labeled,10433,random_forest,39.960377981305626,0.5526964555565076,54.48995093223707,0.462162022837035,0.7540391297430067,0.004159778456006381,0.8834017270342926,0.001921377888305019,5
