experiment,training_data,n_train,model,seed,n_test,mae,rmse,r2,spearman
7,small real + generated,8896,molformer,43.0,1435,34.86325141199226,47.853069345407945,0.8103172695529821,0.9238272136057564
7,small real + generated,8896,molformer,44.0,1435,33.24785809382701,45.706605186750124,0.8269521827050422,0.9216678798966228
7,small real + generated,8896,molformer,45.0,1435,32.71999625227991,44.42661283844393,0.8365087174875913,0.9239411599461386
7,small real + generated,8896,molformer,46.0,1435,35.210071949610686,47.689279372618394,0.8116135274598437,0.922915102775665
7,small real + generated,8896,random_forest,42.0,1435,38.11087048082122,53.12545403497535,0.7662166896501739,0.8904829718746987
7,small real + generated,8896,random_forest,43.0,1435,37.439496360242636,52.60887918481902,0.7707410530833934,0.8935332479616749
7,small real + generated,8896,random_forest,44.0,1435,38.16875806551984,52.82663095488513,0.7688392883388494,0.8919820623286938
7,small real + generated,8896,random_forest,45.0,1435,37.903214648353135,52.80143494301336,0.7690597430206684,0.8903709696979435
7,small real + generated,8896,random_forest,46.0,1435,38.70841178462892,53.65816345106572,0.7615047122690456,0.8881366406021983
8,small real + labeled,10433,molformer,42.0,1435,32.95592716625358,44.693061395722445,0.8345417591654531,0.9229276227003737
8,small real + labeled,10433,molformer,43.0,1435,32.99081289448042,45.235581605243674,0.8305004492605382,0.9260803655311016
8,small real + labeled,10433,molformer,44.0,1435,33.120333220568,45.46145542276366,0.8288035065299195,0.9179484429584316
8,small real + labeled,10433,molformer,45.0,1435,36.786268078457155,49.25632850071072,0.7990295206499405,0.9208012436422324
8,small real + labeled,10433,molformer,46.0,1435,37.432572756636645,50.064928734423084,0.7923770301160055,0.9203842241585073
8,small real + labeled,10433,random_forest,42.0,1435,40.50065038412811,54.99964547811224,0.7494306337405987,0.8827433018250186
8,small real + labeled,10433,random_forest,43.0,1435,39.86620475033891,54.481001311055316,0.7541340676600878,0.8841879441551046
8,small real + labeled,10433,random_forest,44.0,1435,40.18468447195768,54.680278950370784,0.7523321481619026,0.8810366872300615
8,small real + labeled,10433,random_forest,45.0,1435,39.05680232199486,53.744732928252574,0.7607345380401354,0.8861965160230988
8,small real + labeled,10433,random_forest,46.0,1435,40.19354797810858,54.54409599339442,0.7535642611123088,0.88284418593818
